ids,caudate,fusiform_abs,ugm_m,ddm_t,accuracy,rt
9002,-1.06663113029393,2.12917457396785,8.70000000000002,760,0.766666666666667,1.33153168734575
9005,1.97638364611246,1.10238960898724,5.39999999999999,1530,0.675,-0.0282792244447846
9006,1.75563170109253,1.17922294934591,3.1,1720,0.775,1.89684695069792
9008,-0.728108879181434,1.60341413257023,9.10000000000001,450,0.7,1.15566663739683
9009,-4.0154533699421,1.94472008104585,8.70000000000002,770,0.725,1.44662760652268
9016,-0.204000008842089,1.72019248750029,5,760,0.658333333333333,-0.888000692215717
9017,1.42800624888284,1.66387499049306,8.70000000000002,760,0.733333333333333,1.38239359172028
9018,1.12095000859586,1.6428159331282,4,1540,0.741666666666667,1.86922290100919
9019,-1.23668790866313,1.90745559707284,3.19999999999999,1540,0.741666666666667,-7.64678239173637
9020,-1.20200554770246,2.84202247560024,0.5,7970,0.95,3.83618338956799
9021,-0.654568789932805,2.54017170369625,9,430,0.733333333333333,1.17920348075699
9022,0.846446321137692,1.64462245402173,0.2,8000,0.95,-2.35028155862894
9023,1.66632111691294,1.58419218263795,1.9,2590,0.825,-8.69903740937534
9028,-0.223920140499048,1.87494034816821,5,1530,0.691666666666667,1.94603357125636
9029,-0.86456117453868,2.03299896245201,1.2,5330,0.925,3.18989854671405
9034,-0.665315152934291,1.6368293289916,2.30000000000001,1730,0.708333333333333,-2.09409831902936
9036,-3.28752761891225,1.85990114758412,1.5,3580,0.841666666666667,2.85566580908525
9039,-1.81493913182402,1.73875043864051,9.10000000000001,430,0.708333333333333,1.08894204008081
9044,0.406129478099479,1.89508803176383,0.5,8000,0.941666666666667,4.03695192573661
9054,1.31731014690083,1.63328243245681,5,770,0.658333333333333,1.72963892886497
9055,2.54863190048663,1.55354301450045,1.8,4410,0.833333333333333,-9.60301393617187
9057,-2.04728242373087,1.5122898291139,3.19999999999999,1710,0.708333333333333,-0.650595929558504
9059,0.890739660687011,1.32722473147771,0.600000000000001,7910,0.866666666666667,-8.15616768280825
9060,-3.03065857106599,1.84790488183498,8.70000000000002,760,0.725,1.26567923495266
9071,-1.54863107783722,1.07684260999615,3.1,1550,0.508333333333333,-8.57324281762442
9072,-1.61071602099419,1.57409468740225,5.39999999999999,780,0.775,1.7209216073038
9085,-0.54447070068487,2.05619388818741,1.8,3010,0.8,2.90481574462959
9086,-0.876705216563913,1.93706476464868,0.5,8000,0.925,3.76274234491691
9088,-0.823306445803576,1.2804149667422,2.30000000000001,1710,0.791666666666667,2.32786456076358
9092,-2.91004242644229,2.32124604790338,7.29999999999999,780,0.723214285714286,1.5396142359331
9093,-3.25707098417884,1.80842269435525,3.30000000000001,1550,0.758333333333333,1.93516135433025
9095,-0.326845891034652,1.69444106332958,0.900000000000002,7360,0.95,3.31499403072371
9097,-0.905887072125025,2.41680421323335,9,480,0.716666666666667,1.0455836921041
9100,0.543627718505721,1.63267962262034,1,4670,0.866666666666667,3.15162425182611
9104,2.05534063525476,0.930921711559807,3.30000000000001,1530,0.65,-8.79657998579868
9105,-0.619888627001443,1.85221242730816,5.39999999999999,770,0.775,1.56169662023127
9107,-1.82540862034172,1.44187737852335,0.799999999999998,7170,0.958333333333333,3.42257926239998
9111,-1.5452718661029,1.70078307415048,2.69999999999999,2570,0.841666666666667,2.35375086368573
9115,-0.81385430789692,1.67387749037395,2.30000000000001,1720,0.741666666666667,2.3162054338074
9116,-2.96016220521737,1.56308683591584,7,780,0.716666666666667,1.56584585004477
9117,0.692593663411451,1.48858621219794,0.399999999999999,8000,0.95,4.10673940723432
9120,-0.309260764636425,1.85157302469015,1,7190,0.916666666666667,3.39169548638487
9122,0.108806305809519,1.40594723176653,0.5,7910,0.916666666666667,-0.984534701307697
9126,-0.344190354909589,1.31775976003719,1,7350,0.9,2.13070785138542
9128,-0.937728696008418,1.24287429885957,19.2,410,0.6,0.745443515161838
